Date,Name / Description,Expense/Income,Amount (EUR)
2023-12-30,Belastingdienst,Expense,9.96
2023-12-30,Tesco Breda,Expense,17.53
2023-12-30,Monthly Appartment Rent,Expense,451.0
2023-12-30,Vishandel Sier Amsterdam,Expense,12.46
2023-12-29,Selling Paintings,Income,13.63
2023-12-29,Spotify Ab By Adyen,Expense,12.19
2023-12-23,Tk Maxx Amsterdam Da,Expense,27.08
2023-12-22,Consulting,Income,541.57
2023-12-22,Aidsfonds,Expense,10.7
2023-12-20,Consulting,Income,2641.93
2023-12-19,Tls Bv Inz Ov-Chipkaart,Expense,18.9
2023-12-18,Etos Amsterdam,Expense,17.67
2023-12-18,Tesco Breda,Expense,8.809999999999999
2023-12-18,Beta Boulders Ams Amsterdam,Expense,6.9399999999999995
2022-11-26,Salary,Income,14.36
2022-11-26,Bouldermuur Bv Amsterdam,Expense,19.27
2022-11-26,Birtat Restaurant Amsterdam,Expense,24.71
2022-11-25,Tesco Breda,Expense,17.35
2022-11-24,Freelancing,Income,2409.55
2022-11-19,Tikkie,Expense,20.76
2022-10-25,Blogging,Income,4044.27
2022-10-24,Taxi Utrecht,Expense,18.9
2022-10-23,Tesco Breda,Expense,27.54
2022-10-22,Apple Services,Expense,41.25
2022-10-21,Tesco Breda,Expense,22.8
2022-01-16,Amazon Lux,Expense,24.11
2022-01-15,Classpass* Monthly,Expense,30.08
2022-01-14,Audible Uk AdblCo/Pymt Gbr,Expense,11.0
2024-04-10,Travel Expenses,Expense,112.50
2024-04-09,Monthly Phone Bill,Expense,45.67
2024-04-08,Consulting,Income,789.32
2024-04-07,Car Maintenance,Expense,215.00
2024-04-06,Medical Check-up,Expense,75.00
2024-04-05,Online Course Subscription,Expense,29.99
2024-04-04,Salary,Income,1800.00
2024-04-03,Home Insurance Premium,Expense,150.00
2024-04-02,Bookstore Purchase,Expense,27.50
2024-04-01,Freelance Graphic Design,Income,450.00
2024-03-31,Utilities Bill,Expense,98.76
2024-03-30,Gym Membership Fee,Expense,35.00
2024-03-29,Consulting,Income,865.43
2024-03-28,Dinner with Friends,Expense,50.00
2024-03-27,Public Transport Pass,Expense,60.00
2024-03-26,Web Hosting Renewal,Expense,12.99
2024-03-25,Salary,Income,1700.00
2024-03-24,Movie Theater Tickets,Expense,22.00
2024-03-23,Restaurant Lunch,Expense,35.75
2024-03-22,Art Supplies,Expense,48.90
2024-03-21,Consulting,Income,702.10
2024-03-20,Clothing Store Purchase,Expense,75.20
2024-03-19,Car Fuel,Expense,68.45
2024-03-18,Mobile App Subscription,Expense,9.99
2024-03-17,Salary,Income,1850.00
2024-03-16,Home Repairs,Expense,200.00
2024-03-15,Grocery Shopping,Expense,92.34
2024-03-14,Software License Renewal,Expense,49.99
2024-03-13,Consulting,Income,820.55
2024-03-12,Online Gaming Subscription,Expense,14.99
2024-03-11,Utility Bill,Expense,85.67
2024-03-10,Freelance Writing,Income,375.00
2024-03-09,Dentist Visit,Expense,90.00
2024-03-08,Coffee Shop Visit,Expense,4.50
2024-03-07,Monthly Rent,Expense,900.00
2024-03-06,Consulting,Income,935.20
2024-03-05,Movie Night,Expense,18.75
2024-03-04,Grocery Store Purchase,Expense,63.45
2024-03-03,Salary,Income,1600.00
2024-03-02,Public Transportation,Expense,40.00
2024-03-01,Restaurant Dinner,Expense,65.80
2024-02-29,Car Insurance Premium,Expense,120.00
2024-02-28,Consulting,Income,750.00
